StudentID,SchoolID,Season_Year,Test_Date,mathematics_score,mathematics_met_growth_target,reading_score,reading_met_growth_target
18673,11111,Fall 2020-2021,2020-10-05,403,Yes,433,Yes
18675,11111,Fall 2020-2021,2020-10-05,272,No,259,No
18677,11111,Fall 2020-2021,2020-10-05,356,Yes,295,Yes
18679,11111,Fall 2020-2021,2020-10-05,333,No,241,No
18680,11111,Fall 2020-2021,2020-10-05,203,Yes,244,Yes
18682,11111,Fall 2020-2021,2020-10-05,260,No,312,No
18684,11111,Fall 2020-2021,2020-10-05,365,No,348,No
18686,11111,Fall 2020-2021,2020-10-05,225,No,394,No
18688,11111,Fall 2020-2021,2020-10-05,283,Yes,429,Yes
18691,11111,Fall 2020-2021,2020-10-05,467,Yes,386,Yes
18693,11111,Fall 2020-2021,2020-10-05,350,Yes,459,Yes
18695,11111,Fall 2020-2021,2020-10-05,420,Yes,236,Yes
18697,11111,Fall 2020-2021,2020-10-05,427,No,476,No
18700,11111,Fall 2020-2021,2020-10-05,309,Yes,492,Yes
18702,11111,Fall 2020-2021,2020-10-05,286,Yes,333,Yes
18704,11111,Fall 2020-2021,2020-10-05,417,Yes,443,Yes
18706,11111,Fall 2020-2021,2020-10-05,454,No,469,No
18707,11111,Fall 2020-2021,2020-10-05,271,Yes,455,Yes
18709,11111,Fall 2020-2021,2020-10-05,286,No,319,No
18711,11111,Fall 2020-2021,2020-10-05,220,No,355,No
18713,11111,Fall 2020-2021,2020-10-05,448,Yes,238,Yes
18715,11111,Fall 2020-2021,2020-10-05,259,No,275,No
18716,11111,Fall 2020-2021,2020-10-05,470,Yes,261,Yes
18718,11111,Fall 2020-2021,2020-10-05,255,No,420,No
18722,11111,Fall 2020-2021,2020-10-05,327,Yes,215,Yes
18724,11111,Fall 2020-2021,2020-10-05,358,No,476,No
18725,11111,Fall 2020-2021,2020-10-05,371,No,479,No
18727,11111,Fall 2020-2021,2020-10-05,423,No,335,No
18731,11111,Fall 2020-2021,2020-10-05,308,Yes,438,Yes
18734,11111,Fall 2020-2021,2020-10-05,317,Yes,324,Yes
18738,11111,Fall 2020-2021,2020-10-05,460,Yes,436,Yes
18740,11111,Fall 2020-2021,2020-10-05,497,No,400,No
18742,11111,Fall 2020-2021,2020-10-05,339,Yes,305,Yes
18743,11111,Fall 2020-2021,2020-10-05,471,Yes,296,Yes
18745,11111,Fall 2020-2021,2020-10-05,402,Yes,316,Yes
18747,11111,Fall 2020-2021,2020-10-05,330,No,435,No
18749,11111,Fall 2020-2021,2020-10-05,482,Yes,490,Yes
18751,11111,Fall 2020-2021,2020-10-05,227,No,300,No
18752,11111,Fall 2020-2021,2020-10-05,480,No,480,No
18754,11111,Fall 2020-2021,2020-10-05,476,Yes,284,Yes
18760,11111,Fall 2020-2021,2020-10-05,233,No,297,No
18761,11111,Fall 2020-2021,2020-10-05,252,Yes,492,Yes
18763,11111,Fall 2020-2021,2020-10-05,219,No,352,No
18765,11111,Fall 2020-2021,2020-10-05,220,Yes,460,Yes
18767,11111,Fall 2020-2021,2020-10-05,481,No,453,No
18770,11111,Fall 2020-2021,2020-10-05,465,No,237,No
18772,11111,Fall 2020-2021,2020-10-05,380,No,361,No
18774,11111,Fall 2020-2021,2020-10-05,477,Yes,257,Yes
18776,11111,Fall 2020-2021,2020-10-05,395,Yes,430,Yes
