StudentID,SchoolID,Season_Year,Test_Date,Mathematics_Score,Mathematics_Met_Growth_Target,Reading_Score,Reading_Met_Growth_Target
15597,432,Fall 2020-2021,9/15/2020,470,Yes,261,Yes
15599,432,Fall 2020-2021,9/15/2020,255,No,420,No
15602,432,Fall 2020-2021,9/15/2020,327,Yes*,215,Yes*
15603,432,Fall 2020-2021,9/15/2020,358.0,No*,476,No*
15605,432,Fall 2020-2021,9/15/2020,371,No*,479,No*
15606,432,Fall 2020-2021,9/15/2020,423,No,335,No
15609,432,Fall 2020-2021,9/15/2020,308,Yes,438,Yes
15611,432,Fall 2020-2021,9/15/2020,NA,,NA,
15612,432,Fall 2020-2021,9/15/2020,317,Yes,324,Yes
15615,432,Fall 2020-2021,9/15/2020,460,Yes*,436,Yes*
15617,432,Fall 2020-2021,9/15/2020,497,No*,400,No*
15618,432,Fall 2020-2021,9/15/2020,339,Yes,305,Yes
15620,432,Fall 2020-2021,9/15/2020,471,Yes,296,Yes
15621,432,Fall 2020-2021,9/15/2020,402,Yes,316,Yes
15623,432,Fall 2020-2021,9/15/2020,330,No,435,No
15624,432,Fall 2020-2021,9/15/2020,482,Yes,490,Yes
15626,432,Fall 2020-2021,9/15/2020,NA,No,NA,No
15627,432,Fall 2020-2021,9/15/2020,480,No,480,No
15629,432,Fall 2020-2021,9/15/2020,476,Yes*,284,Yes*
15633,432,Fall 2020-2021,9/15/2020,233,No*,297,No*
15635,432,Fall 2020-2021,9/15/2020,252,Yes,492,Yes
15636,432,Fall 2020-2021,9/15/2020,219,No,352,No
15638,432,Fall 2020-2021,9/15/2020,220,Yes*,460,Yes*
15639,432,Fall 2020-2021,9/15/2020,481,No*,453,No*
15642,432,Fall 2020-2021,9/15/2020,465,No*,237,No*
15644,432,Fall 2020-2021,9/15/2020,380,No,361,No
15645,432,Fall 2020-2021,9/15/2020,477,Yes,257,Yes
15647,432,Fall 2020-2021,9/15/2020,395,Yes,430,Yes
