StudentID,SchoolID,Season_Year,Test_Date,Mathematics_Score,Mathematics_Met_Growth_Target,Reading_Score,Reading_Met_Growth_Target
10368,123,Fall 2020-2021,9/15/2020,373,Yes,354,Yes
10369,123,Fall 2020-2021,9/15/2020,226,Yes,223,Yes
10370,123,Fall 2020-2021,9/15/2020,280,No,345,No
10371,123,Fall 2020-2021,9/15/2020,493,Yes,230,Yes
10372,123,Fall 2020-2021,9/15/2020,276,No,362,No
10373,123,Fall 2020-2021,9/15/2020,366,No,381,No
10374,123,Fall 2020-2021,9/15/2020,403,Yes*,433,Yes*
10375,123,Fall 2020-2021,9/15/2020,272,No*,259,No*
10376,123,Fall 2020-2021,9/15/2020,356,Yes,295,Yes
10377,123,Fall 2020-2021,9/15/2020,333,No,241,No
10378,123,Fall 2020-2021,9/15/2020,203,Yes*,244,Yes*
10379,123,Fall 2020-2021,9/15/2020,260,No*,312,No*
10380,123,Fall 2020-2021,9/15/2020,365,No*,348,No*
10381,123,Fall 2020-2021,9/15/2020,225,No,394,No
10382,123,Fall 2020-2021,9/15/2020,283,Yes,429,Yes
10384,123,Fall 2020-2021,9/15/2020,467,Yes,386,Yes
10385,123,Fall 2020-2021,9/15/2020,350,Yes,459,Yes
10386,123,Fall 2020-2021,9/15/2020,420,Yes*,236,Yes*
10387,123,Fall 2020-2021,9/15/2020,427,No*,476,No*
10389,123,Fall 2020-2021,9/15/2020,309,Yes,492,Yes
10390,123,Fall 2020-2021,9/15/2020,286,Yes,333,Yes
10391,123,Fall 2020-2021,9/15/2020,417,Yes,443,Yes
10392,123,Fall 2020-2021,9/15/2020,454,No,469,No
10393,123,Fall 2020-2021,9/15/2020,271,Yes,455,Yes
10394,123,Fall 2020-2021,9/15/2020,286,No,319,No
10395,123,Fall 2020-2021,9/15/2020,220,No,355,No
10396,123,Fall 2020-2021,9/15/2020,448,Yes*,238,Yes*
10397,123,Fall 2020-2021,9/15/2020,259,No*,275,No*
10398,123,Fall 2020-2021,9/15/2020,470,Yes,261,Yes
10399,123,Fall 2020-2021,9/15/2020,255,No,420,No
10401,123,Fall 2020-2021,9/15/2020,327,Yes*,215,Yes*
10402,123,Fall 2020-2021,9/15/2020,358,No*,476,No*
10403,123,Fall 2020-2021,9/15/2020,371,No*,479,No*
10404,123,Fall 2020-2021,9/15/2020,423,No,335,No
10406,123,Fall 2020-2021,9/15/2020,308,Yes,438,Yes
10407,123,Fall 2020-2021,9/15/2020,272,,445,
10408,123,Fall 2020-2021,9/15/2020,317,Yes,324,Yes
10410,123,Fall 2020-2021,9/15/2020,460,Yes*,436,Yes*
10411,123,Fall 2020-2021,9/15/2020,497,No*,400,No*
10412,123,Fall 2020-2021,9/15/2020,339,Yes,305,Yes
10413,123,Fall 2020-2021,9/15/2020,471,Yes,296,Yes
10414,123,Fall 2020-2021,9/15/2020,402,Yes,316,Yes
10415,123,Fall 2020-2021,9/15/2020,330,No,435,No
10416,123,Fall 2020-2021,9/15/2020,482,Yes,490,Yes
10417,123,Fall 2020-2021,9/15/2020,227,No,300,No
10418,123,Fall 2020-2021,9/15/2020,480,No,480,No
10419,123,Fall 2020-2021,9/15/2020,476,Yes*,284,Yes*
10422,123,Fall 2020-2021,9/15/2020,233,No*,297,No*
10423,123,Fall 2020-2021,9/15/2020,252,Yes,492,Yes
10424,123,Fall 2020-2021,9/15/2020,219,No,352,No
10425,123,Fall 2020-2021,9/15/2020,220,Yes*,460,Yes*
10426,123,Fall 2020-2021,9/15/2020,481,No*,453,No*
10428,123,Fall 2020-2021,9/15/2020,465,No*,237,No*
10429,123,Fall 2020-2021,9/15/2020,380,No,361,No
10430,123,Fall 2020-2021,9/15/2020,477,Yes,257,Yes
10431,123,Fall 2020-2021,9/15/2020,395,Yes,430,Yes
