studentid,SchoolID,Season_Year,Test_Date,mathematics_score,mathematics_met_growth_target,reading_score,reading_met_growth_target
5725522297.0,6789,Fall 2020-2021,2020-10-13,423.0,Yes,301.0,Yes
5532166522.0,6789,Fall 2020-2021,2020-10-13,446.0,Yes,279.0,Yes
1259538432.0,6789,Fall 2020-2021,2020-10-13,437.0,Yes,342.0,Yes
3833965104.0,6789,Fall 2020-2021,2020-10-13,469.0,No,429.0,No
6679990758.0,6789,Fall 2020-2021,,357.0,Unknown,200.0,Unknown
3539411716.0,6789,Fall 2020-2021,2020-10-13,326.0,No,417.0,No
5483363661.0,6789,Fall 2020-2021,2020-10-13,497.0,No,215.0,No
7680870912.0,6789,Fall 2020-2021,2020-10-13,274.0,Yes,235.0,Yes
7090872242.0,6789,Fall 2020-2021,2020-10-13,214.0,No,427.0,No
3311877846.0,6789,Fall 2020-2021,2020-10-13,322.0,Yes,212.0,Yes
2574610685.0,6789,Fall 2020-2021,2020-10-13,299.0,No,328.0,No
1344140837.0,6789,Fall 2020-2021,2020-10-13,218.0,Yes,498.0,Yes
7596468416.0,6789,Fall 2020-2021,2020-10-13,296.0,No,356.0,No
8714683824.0,6789,Fall 2020-2021,2020-10-13,419.0,No,235.0,No
6830416147.0,6789,Fall 2020-2021,2020-10-13,317.0,No,381.0,No
3154220985.0,6789,Fall 2020-2021,2020-10-13,241.0,Yes,336.0,Yes
5104366088.0,6789,Fall 2020-2021,2020-10-13,456.0,Yes,249.0,Yes
8297871133.0,6789,Fall 2020-2021,,435.0,Yes,428.0,Yes
1135787653.0,6789,Fall 2020-2021,,210.0,Yes,369.0,Yes
5927633665.0,6789,Fall 2020-2021,,393.0,No,435.0,No
3405447183.0,6789,Fall 2020-2021,,203.0,Yes,448.0,Yes
9644709274.0,6789,Fall 2020-2021,2020-10-13,243.0,Yes,465.0,Yes
8329724571.0,6789,Fall 2020-2021,2020-10-13,230.0,Yes,247.0,Yes
9428452321.0,6789,Fall 2020-2021,2020-10-13,346.0,No,266.0,No
3797761050.0,6789,Fall 2020-2021,2020-10-13,337.0,Yes,304.0,Yes
5705247777.0,6789,Fall 2020-2021,2020-10-13,407.0,No,362.0,No
5944614002.0,6789,Fall 2020-2021,2020-10-13,334.0,No,264.0,No
4647747405.0,6789,Fall 2020-2021,2020-10-13,475.0,Yes,497.0,Yes
9462145682.0,6789,Fall 2020-2021,2020-10-13,288.0,No,338.0,No
4208733326.0,6789,Fall 2020-2021,2020-10-13,436.0,Yes,453.0,Yes
8381116315.0,6789,Fall 2020-2021,2020-10-13,318.0,No,209.0,No
1469826720.0,6789,Fall 2020-2021,2020-10-13,403.0,Yes,317.0,Yes
9045301905.0,6789,Fall 2020-2021,2020-10-13,246.0,No,408.0,No
7492156843.0,6789,Fall 2020-2021,2020-10-13,348.0,No,447.0,No
6142174436.0,6789,Fall 2020-2021,2020-10-13,315.0,Unknown,500.0,Unknown
7981627806.0,6789,Fall 2020-2021,2020-10-13,463.0,Yes,410.0,Yes
2861279012.0,6789,Fall 2020-2021,2020-10-13,356.0,Yes,319.0,Yes
2700701657.0,6789,Fall 2020-2021,2020-10-13,329.0,Yes,493.0,Yes
8216229284.0,6789,Fall 2020-2021,2020-10-13,293.0,Yes,275.0,Yes
2330774137.0,6789,Fall 2020-2021,2020-10-13,396.0,No,421.0,No
4085617228.0,6789,Fall 2020-2021,2020-10-13,280.0,Yes,453.0,Yes
5833539458.0,6789,Fall 2020-2021,2020-10-13,488.0,Yes,469.0,Yes
8136603980.0,6789,Fall 2020-2021,2020-10-13,249.0,Yes,394.0,Yes
7708109259.0,6789,Fall 2020-2021,2020-10-13,285.0,No,324.0,No
6476610213.0,6789,Fall 2020-2021,2020-10-13,270.0,Yes,461.0,Yes
2762890034.0,6789,Fall 2020-2021,2020-10-13,490.0,No,402.0,No
1042672720.0,6789,Fall 2020-2021,2020-10-13,210.0,No,228.0,No
7133910195.0,6789,Fall 2020-2021,2020-10-13,305.0,Yes,433.0,Yes
8336355980.0,6789,Fall 2020-2021,2020-10-13,317.0,No,273.0,No
9330816266.0,6789,Fall 2020-2021,2020-10-13,222.0,Yes,380.0,Yes
6322707532.0,6789,Fall 2020-2021,2020-10-13,353.0,No,266.0,No
6477926071.0,6789,Fall 2020-2021,2020-10-13,248.0,Yes,332.0,Yes
7149201282.0,6789,Fall 2020-2021,2020-10-13,330.0,No,279.0,No
3641655307.0,6789,Fall 2020-2021,2020-10-13,426.0,No,493.0,No
1456858523.0,6789,Fall 2020-2021,2020-10-13,360.0,No,428.0,No
6001278738.0,6789,Fall 2020-2021,2020-10-13,400.0,Yes,316.0,Yes
2441170065.0,6789,Fall 2020-2021,2020-10-13,272.0,Yes,220.0,Yes
8194328252.0,6789,Fall 2020-2021,2020-10-13,462.0,Yes,438.0,Yes
3160273155.0,6789,Fall 2020-2021,2020-10-13,485.0,Yes,435.0,Yes
7501698458.0,6789,Fall 2020-2021,2020-10-13,336.0,No,475.0,No
6836753976.0,6789,Fall 2020-2021,2020-10-13,260.0,Yes,222.0,Yes
6085272817.0,6789,Fall 2020-2021,2020-10-13,425.0,Unknown,468.0,Unknown
6854934264.0,6789,Fall 2020-2021,2020-10-13,464.0,Yes,429.0,Yes
5622098807.0,6789,Fall 2020-2021,2020-10-13,379.0,No,330.0,No
5183021374.0,6789,Fall 2020-2021,2020-10-13,346.0,Yes,466.0,Yes
,,,,,Unknown,,Unknown
