studentid,SchoolID,Season_Year,Test_Date,mathematics_score,mathematics_met_growth_target,reading_score,reading_met_growth_target
10363,123,Fall 2020-2021,2020-09-15,450,Yes,360,Yes
10364,123,Fall 2020-2021,2020-09-15,463,Yes,319,Yes
10365,123,Fall 2020-2021,2020-09-15,428,Yes,331,Yes
10366,123,Fall 2020-2021,2020-09-15,320,No,372,No
10367,123,Fall 2020-2021,2020-09-15,310,Yes,294,Yes
10368,123,Fall 2020-2021,2020-09-15,373,Yes,354,Yes
10369,123,Fall 2020-2021,2020-09-15,226,Yes,223,Yes
10370,123,Fall 2020-2021,2020-09-15,280,No,345,No
10371,123,Fall 2020-2021,2020-09-15,493,Yes,230,Yes
10372,123,Fall 2020-2021,2020-09-15,276,No,362,No
10373,123,Fall 2020-2021,2020-09-15,366,No,381,No
10374,123,Fall 2020-2021,2020-09-15,403,Yes,433,Yes
10375,123,Fall 2020-2021,2020-09-15,272,No,259,No
10376,123,Fall 2020-2021,2020-09-15,356,Yes,295,Yes
10377,123,Fall 2020-2021,2020-09-15,333,No,241,No
10378,123,Fall 2020-2021,2020-09-15,203,Yes,244,Yes
10379,123,Fall 2020-2021,2020-09-15,260,No,312,No
10380,123,Fall 2020-2021,2020-09-15,365,No,348,No
10381,123,Fall 2020-2021,2020-09-15,225,No,394,No
10382,123,Fall 2020-2021,2020-09-15,283,Yes,429,Yes
10384,123,Fall 2020-2021,2020-09-15,467,Yes,386,Yes
10385,123,Fall 2020-2021,2020-09-15,350,Yes,459,Yes
10386,123,Fall 2020-2021,2020-09-15,420,Yes,236,Yes
10387,123,Fall 2020-2021,2020-09-15,427,No,476,No
10389,123,Fall 2020-2021,2020-09-15,309,Yes,492,Yes
10390,123,Fall 2020-2021,2020-09-15,286,Yes,333,Yes
10391,123,Fall 2020-2021,2020-09-15,417,Yes,443,Yes
10392,123,Fall 2020-2021,2020-09-15,454,No,469,No
10393,123,Fall 2020-2021,2020-09-15,271,Yes,455,Yes
10394,123,Fall 2020-2021,2020-09-15,286,No,319,No
10395,123,Fall 2020-2021,2020-09-15,220,No,355,No
10396,123,Fall 2020-2021,2020-09-15,448,Yes,238,Yes
10397,123,Fall 2020-2021,2020-09-15,259,No,275,No
10398,123,Fall 2020-2021,2020-09-15,470,Yes,261,Yes
10399,123,Fall 2020-2021,2020-09-15,255,No,420,No
10401,123,Fall 2020-2021,2020-09-15,327,Yes,215,Yes
10402,123,Fall 2020-2021,2020-09-15,358,No,476,No
10403,123,Fall 2020-2021,2020-09-15,371,No,479,No
10404,123,Fall 2020-2021,2020-09-15,423,No,335,No
10406,123,Fall 2020-2021,2020-09-15,308,Yes,438,Yes
10407,123,Fall 2020-2021,2020-09-15,272,Unknown,445,Unknown
10408,123,Fall 2020-2021,2020-09-15,317,Yes,324,Yes
10410,123,Fall 2020-2021,2020-09-15,460,Yes,436,Yes
10411,123,Fall 2020-2021,2020-09-15,497,No,400,No
10412,123,Fall 2020-2021,2020-09-15,339,Yes,305,Yes
10413,123,Fall 2020-2021,2020-09-15,471,Yes,296,Yes
10414,123,Fall 2020-2021,2020-09-15,402,Yes,316,Yes
10415,123,Fall 2020-2021,2020-09-15,330,No,435,No
10416,123,Fall 2020-2021,2020-09-15,482,Yes,490,Yes
10417,123,Fall 2020-2021,2020-09-15,227,No,300,No
10418,123,Fall 2020-2021,2020-09-15,480,No,480,No
10419,123,Fall 2020-2021,2020-09-15,476,Yes,284,Yes
10422,123,Fall 2020-2021,2020-09-15,233,No,297,No
10423,123,Fall 2020-2021,2020-09-15,252,Yes,492,Yes
10424,123,Fall 2020-2021,2020-09-15,219,No,352,No
10425,123,Fall 2020-2021,2020-09-15,220,Yes,460,Yes
10426,123,Fall 2020-2021,2020-09-15,481,No,453,No
10428,123,Fall 2020-2021,2020-09-15,465,No,237,No
10429,123,Fall 2020-2021,2020-09-15,380,No,361,No
10430,123,Fall 2020-2021,2020-09-15,477,Yes,257,Yes
10431,123,Fall 2020-2021,2020-09-15,395,Yes,430,Yes
